,hash,trans_size,sum(in_value),hash,size,sum(out_value),trans_fees,trans_fees_2
12,18e4e9b0a380f22d9333f3c964484ae8498a3f9eb3f9b2a3e4ec7ba15698fd53,223,6157053,18e4e9b0a380f22d9333f3c964484ae8498a3f9eb3f9b2a3e4ec7ba15698fd53,223,6153943,3110,13.95
13,7b0b23c559eda2b503aca36c149934a5682c99f25cf8c1465fcbefcde0d07059,223,17585498,7b0b23c559eda2b503aca36c149934a5682c99f25cf8c1465fcbefcde0d07059,223,17582092,3406,15.27
14,9988e348b4e2f46582866eca29385293e01eb146b528dc3e175e1de2c7351768,192,319582,9988e348b4e2f46582866eca29385293e01eb146b528dc3e175e1de2c7351768,192,316696,2886,15.03
15,c0539b178f3be975e77802d0c0591e8bcb55ea8b37fa1d5aaa24ec7a94537b0f,247,94920299,c0539b178f3be975e77802d0c0591e8bcb55ea8b37fa1d5aaa24ec7a94537b0f,247,94918979,1320,5.34
16,d96eca129b6924e9d03d92fe96512c1eca029565861a461427c7ee7abaaf6b44,222,352826,d96eca129b6924e9d03d92fe96512c1eca029565861a461427c7ee7abaaf6b44,222,349186,3640,16.4
17,dab72e6e7d1564305672cf52a4c71f7eab475627fb248f3597773abf0fd652ea,225,95730075,dab72e6e7d1564305672cf52a4c71f7eab475627fb248f3597773abf0fd652ea,225,95724027,6048,26.88
18,dbeecbb19150d57ae2f69605c60add5b7f9ffc3490f8d14b68f5d976712af735,222,1363313,dbeecbb19150d57ae2f69605c60add5b7f9ffc3490f8d14b68f5d976712af735,222,1361315,1998,9
19,4b9295b6fb6b8cd40169101b807e556e9a6e3f48c673a6507b2750453c9309c2,223,1593059,4b9295b6fb6b8cd40169101b807e556e9a6e3f48c673a6507b2750453c9309c2,223,1589393,3666,16.44
20,b4d18ccc32db8f0249db8360946c8df5ed8c5e6012881fc2d8b60e5690eb60e1,374,452714,b4d18ccc32db8f0249db8360946c8df5ed8c5e6012881fc2d8b60e5690eb60e1,374,451202,1512,4.04
21,b9c88a92b3442c7094f535a8ae96d494f74c6f0a45b8e48cce2fdf649ae0bd25,371,3288578,b9c88a92b3442c7094f535a8ae96d494f74c6f0a45b8e48cce2fdf649ae0bd25,371,3287117,1461,3.94
22,cfa4f432e774b7271297fda058b611e0e2a03a3440ec025fdba50eaf4af2f794,223,142628,cfa4f432e774b7271297fda058b611e0e2a03a3440ec025fdba50eaf4af2f794,223,138962,3666,16.44
23,4a27935a4e7c8a4dcb6d8064758d1526a0585da7b28ed49960f365304414cf2e,189,312920,4a27935a4e7c8a4dcb6d8064758d1526a0585da7b28ed49960f365304414cf2e,189,303943,8977,47.5
24,6d456388d8e3d4a53373e60542f0df0fa4e5c20651fd696af7dbb43a948fcdd5,223,4110578,6d456388d8e3d4a53373e60542f0df0fa4e5c20651fd696af7dbb43a948fcdd5,223,4108061,2517,11.29
25,90f987f0f272b3d0dff2780f203e6d0351da7107c0772ec7c19b6afbd254323e,154,5000,90f987f0f272b3d0dff2780f203e6d0351da7107c0772ec7c19b6afbd254323e,154,4384,616,4
26,01287536bb76a2e3e8167b87ab59aa86c311c75e135676c516580cdbdd700521,191,1599216,01287536bb76a2e3e8167b87ab59aa86c311c75e135676c516580cdbdd700521,191,1596356,2860,14.97
27,3aef0ba5c095fac63e123c800b5e51a928ae9d4b9bad60659d999e09667d4805,533,8013990,3aef0ba5c095fac63e123c800b5e51a928ae9d4b9bad60659d999e09667d4805,533,7986390,27600,51.78
28,7c68be6023afa127073aa23d50a6bdf8e52b147a3a37a8700dd55c44e624c58f,223,19287886,7c68be6023afa127073aa23d50a6bdf8e52b147a3a37a8700dd55c44e624c58f,223,19283804,4082,18.3
29,bd9654ade694f6fc3c75f5c7ce7f5374bbd33fc3beca0c0a665aba42f65640bc,492,2875144,bd9654ade694f6fc3c75f5c7ce7f5374bbd33fc3beca0c0a665aba42f65640bc,492,2868670,6474,13.16
30,fe86ae6d1a48a5a0dbde583c6b7cd959405920ad68ac544269fcc59df3dbcf80,248,31693616,fe86ae6d1a48a5a0dbde583c6b7cd959405920ad68ac544269fcc59df3dbcf80,248,31689365,4251,17.14
31,6417378a1da008c85b3fd60836e16285634a0bddde0cec16976e5f099fa6169f,492,406493,6417378a1da008c85b3fd60836e16285634a0bddde0cec16976e5f099fa6169f,492,400019,6474,13.16
32,828bc5e2d9b106c7283b2c73afbf4d56316fc58c1ee97377b059b60325099f43,226,97381,828bc5e2d9b106c7283b2c73afbf4d56316fc58c1ee97377b059b60325099f43,226,96381,1000,4.42
33,87a62c03c908915f80b55bc8074c513d8d3c5db6726b161252556bc3846ebf70,359,7000,87a62c03c908915f80b55bc8074c513d8d3c5db6726b161252556bc3846ebf70,359,5344,1656,4.61
34,c1758b38af38da0d5a81166999deaf9faa4c3e225b59eeba9557627f438b0515,223,263832,c1758b38af38da0d5a81166999deaf9faa4c3e225b59eeba9557627f438b0515,223,262846,986,4.42
35,c82805161f4fa0dbbd06d3db12e1a7116f73c1923335cf84b9215d4adf387762,371,302401,c82805161f4fa0dbbd06d3db12e1a7116f73c1923335cf84b9215d4adf387762,371,297353,5048,13.61
36,f196824f13c116b932c00619dea390fd5f61a86c2e732640dd8f4ec5dd5bd500,381,22911749,f196824f13c116b932c00619dea390fd5f61a86c2e732640dd8f4ec5dd5bd500,381,22902387,9362,24.57
37,38dcae7c4840c780d864b664bfa88ae94f6005d03a4e797936a7eada42d39524,192,180694,38dcae7c4840c780d864b664bfa88ae94f6005d03a4e797936a7eada42d39524,192,178966,1728,9
38,d85a84eb4dd80cc956136c9a2e0a38608d2a5a30000dab9ee7c27e7df30b8d64,194,1100000,d85a84eb4dd80cc956136c9a2e0a38608d2a5a30000dab9ee7c27e7df30b8d64,194,1088474,11526,59.41
39,ea91359dc14fa8256d0469daad5f73062da18327d646be1ff67976aae90db6c7,506,97124,ea91359dc14fa8256d0469daad5f73062da18327d646be1ff67976aae90db6c7,506,87946,9178,18.14
40,fedbf6a57649dda469c786d9dd2be8ceaf4f9f80d0b2fcb15097e95c59f03c94,154,2500,fedbf6a57649dda469c786d9dd2be8ceaf4f9f80d0b2fcb15097e95c59f03c94,154,1884,616,4
41,0c827a2c6ab3702c4bc1f2cdf8a605b0d0ee04c6ada0c038a52b4b8a49338c76,154,2500,0c827a2c6ab3702c4bc1f2cdf8a605b0d0ee04c6ada0c038a52b4b8a49338c76,154,1884,616,4
42,41322b8a76cd86f6d6940ea67760fa13b45489f6b1350a0c341ec59e289c37f0,256,47983196,41322b8a76cd86f6d6940ea67760fa13b45489f6b1350a0c341ec59e289c37f0,256,47978471,4725,18.46
43,43734b35b3196b98c155e7b2d8d61c3540d717fb49732bd6e8ff7dc479825c8f,462,433953,43734b35b3196b98c155e7b2d8d61c3540d717fb49732bd6e8ff7dc479825c8f,462,425838,8115,17.56
44,57f213ec7d63795e4b1258904163e2762b9ac1464ea3da9c3ac26fcd427f7fb4,225,87589695,57f213ec7d63795e4b1258904163e2762b9ac1464ea3da9c3ac26fcd427f7fb4,225,87585951,3744,16.64
45,6cedc2c3ad6660ab8d056d9e9d21cd9123f6b9d56997542b7117a46f65d55402,222,248952,6cedc2c3ad6660ab8d056d9e9d21cd9123f6b9d56997542b7117a46f65d55402,222,246435,2517,11.34
46,cec81a54942a153f1898b2a989621ab373e5c291fa301b6af3aac216696385b2,226,738642,cec81a54942a153f1898b2a989621ab373e5c291fa301b6af3aac216696385b2,226,734898,3744,16.57
47,fa4001ec51732205c7cb9f5036581811420ca5a8cf74603e8b8e81918cf485a3,224,958144,fa4001ec51732205c7cb9f5036581811420ca5a8cf74603e8b8e81918cf485a3,224,949740,8404,37.52
48,c2a397511668750fd0703e4ab8510ceffb5ce071b534074aea75c2487a95f7d7,279,1586299,c2a397511668750fd0703e4ab8510ceffb5ce071b534074aea75c2487a95f7d7,279,1581182,5117,18.34
49,290204f68e42bdd027258efacc889622b9bf3a9ec8f6bbb1d73b4dbbbd4ad812,222,1360528,290204f68e42bdd027258efacc889622b9bf3a9ec8f6bbb1d73b4dbbbd4ad812,222,1357000,3528,15.89
50,8a9d6155dc56a3fbf793279744cb1c5431de471934f6f43470fd8bcaba3ea129,224,3578350,8a9d6155dc56a3fbf793279744cb1c5431de471934f6f43470fd8bcaba3ea129,224,3574671,3679,16.42
51,182f8bdbf907c7e9c73e1ae9ef2f1be54a465573dbcbe9529f508381b865b643,373,16159576,182f8bdbf907c7e9c73e1ae9ef2f1be54a465573dbcbe9529f508381b865b643,373,16154142,5434,14.57
52,39732c1e7f7ec3a491e62192fe2f603d02a4a73bae77980a58fd5a59285a11f9,162,10000,39732c1e7f7ec3a491e62192fe2f603d02a4a73bae77980a58fd5a59285a11f9,162,9319,681,4.2
53,64ca9c64ea551c5c1e89764e1606f348314b0b4bb65a8af7f7d90ed70c0420fe,222,365907,64ca9c64ea551c5c1e89764e1606f348314b0b4bb65a8af7f7d90ed70c0420fe,222,359955,5952,26.81
54,857fc4e01c1eb5aa7d4c262dbdc2f29fb5fa75a95fd926b578edb0779a662677,195,388014,857fc4e01c1eb5aa7d4c262dbdc2f29fb5fa75a95fd926b578edb0779a662677,195,384042,3972,20.37
55,8eca07d753efe3adf5565af4add567c44864c2ef00ebea51cd16fefbe1819d4a,224,1440615,8eca07d753efe3adf5565af4add567c44864c2ef00ebea51cd16fefbe1819d4a,224,1439629,986,4.4
56,5e7e9c5ecf2be8d633599af5404b9adfaf6775de0ec1ba57d489795b99eedf50,234,2784617,5e7e9c5ecf2be8d633599af5404b9adfaf6775de0ec1ba57d489795b99eedf50,234,2782854,1763,7.53
57,76b46cf4f359ec35852f8cbaa864f3a93e98d2d802df9a89829117d3cf070f57,224,8075400,76b46cf4f359ec35852f8cbaa864f3a93e98d2d802df9a89829117d3cf070f57,224,8071318,4082,18.22
58,8dfc223e8520083ba9ed1dcf3e9b8f87b47e1084c4ff3e32b3c31b022a169880,374,3958000,8dfc223e8520083ba9ed1dcf3e9b8f87b47e1084c4ff3e32b3c31b022a169880,374,3950176,7824,20.92
59,93b264578ec6108ed260f99a4596ecbdcd009a09fea37cb94649f39a22d2138a,1083,6105495,93b264578ec6108ed260f99a4596ecbdcd009a09fea37cb94649f39a22d2138a,1083,6097047,8448,7.8
60,b5d55b91eb2e591d0d62da4ddc2316c5652048749df1d504ed8e76eb3e32f2a0,225,180128738,b5d55b91eb2e591d0d62da4ddc2316c5652048749df1d504ed8e76eb3e32f2a0,225,180123240,5498,24.44
61,f50e9bdb046be1b9aca3091fc81216aad8ec6a917ffc7a6bb3b10c1126eddeb7,254,567956224,f50e9bdb046be1b9aca3091fc81216aad8ec6a917ffc7a6bb3b10c1126eddeb7,254,567951502,4722,18.59
62,e0a27ff77f6413025ebfbca08b8fda1a36e9498a6b628b8ab06bf8dd886cae39,375,1062788,e0a27ff77f6413025ebfbca08b8fda1a36e9498a6b628b8ab06bf8dd886cae39,375,1061339,1449,3.86
63,507357070840b07d02385d0de37993efc1a845cd06c36112844b9512d01921d9,403,457795,507357070840b07d02385d0de37993efc1a845cd06c36112844b9512d01921d9,403,454766,3029,7.52
64,801ec20e537e3b7339fe8a742ec7ad64ff830cf374e64eadf589114ac14bb5ef,225,8019432,801ec20e537e3b7339fe8a742ec7ad64ff830cf374e64eadf589114ac14bb5ef,225,8015688,3744,16.64
65,90bdaf7f5d1d46d42449a330f8b4345f234ad8fcea70c2e95203a0817d0e4323,5128,45058717,90bdaf7f5d1d46d42449a330f8b4345f234ad8fcea70c2e95203a0817d0e4323,5128,45007813,50904,9.93
66,bcf982ef189a09878c790c42b20636307df0a10165e3ea49f5b309d6eeee52fb,254,398833418,bcf982ef189a09878c790c42b20636307df0a10165e3ea49f5b309d6eeee52fb,254,398831688,1730,6.81
67,348b17284f4b1f6e13bd70791df9010805a5e7c33308667f4411f3353c9d36f3,194,22877038,348b17284f4b1f6e13bd70791df9010805a5e7c33308667f4411f3353c9d36f3,194,22873775,3263,16.82
68,5782629de40e0d84c7003e6f1cbb77c466f4de5c674e65ab8334f7980a1a1ea3,693,190917865,5782629de40e0d84c7003e6f1cbb77c466f4de5c674e65ab8334f7980a1a1ea3,693,190915648,2217,3.2
69,5a5f02eaf02725b47a78e8d47ec819d793d134ba5f08342bde789444dc27fe43,383,47228973,5a5f02eaf02725b47a78e8d47ec819d793d134ba5f08342bde789444dc27fe43,383,47223581,5392,14.08
70,8f9a8110fe4c38c73153a27b025b5a7b9cca3ed1555e3e0127f6d2bfe67f9e95,432,1528956,8f9a8110fe4c38c73153a27b025b5a7b9cca3ed1555e3e0127f6d2bfe67f9e95,432,1527424,1532,3.55
71,d8736e62a588192bedf3223fd7ebb0335f91fb8b1c7b4fc91f08386e49f60904,22505,44229,d8736e62a588192bedf3223fd7ebb0335f91fb8b1c7b4fc91f08386e49f60904,22505,10047,34182,1.52
72,6b328a8147e553a0d452622cda31373596524f8388fb23b19415923d44884298,491,451626,6b328a8147e553a0d452622cda31373596524f8388fb23b19415923d44884298,491,447610,4016,8.18
73,6fb8cde9b23952a4c2e620de1460b68bfc6fad062e887b32268eda7f45c18856,551,42173052,6fb8cde9b23952a4c2e620de1460b68bfc6fad062e887b32268eda7f45c18856,551,42162242,10810,19.62
74,f81fb2382c5a019e0ab913abdf6ab02786f393e4221b1201eed396addccd9944,370,4669369,f81fb2382c5a019e0ab913abdf6ab02786f393e4221b1201eed396addccd9944,370,4667923,1446,3.91
75,2632bf0da591468a0054d68826b615405769cdacf9c18ae74dac369fd84727fa,223,67147679,2632bf0da591468a0054d68826b615405769cdacf9c18ae74dac369fd84727fa,223,67146543,1136,5.09
76,2a461b4c1585bc235eccebf3adac6e28f78f1387e0d9a072a8d31c10cd75e8c1,8860,12373120,2a461b4c1585bc235eccebf3adac6e28f78f1387e0d9a072a8d31c10cd75e8c1,8860,12243910,129210,14.58
77,2c3f7404c482f0092d993a1bc5bd2649936ebc0265163481566e393faad7173f,1073,735238,2c3f7404c482f0092d993a1bc5bd2649936ebc0265163481566e393faad7173f,1073,717958,17280,16.1
78,6a7973b2dd9de58b6fefd75f5b43a6cd2c959afc5ee4b3c1f7bd6a23d5da582f,192,1215258,6a7973b2dd9de58b6fefd75f5b43a6cd2c959afc5ee4b3c1f7bd6a23d5da582f,192,1203936,11322,58.97
79,70e161f1307c71613998beccfe1667262f7868f0fb61e5bf3731f2f72c522c45,196,10000,70e161f1307c71613998beccfe1667262f7868f0fb61e5bf3731f2f72c522c45,196,9262,738,3.77
80,71242fe506236e400c59455ade4a61f959d2d67a730c2725b4b0075b6367d398,1344,10586218713,71242fe506236e400c59455ade4a61f959d2d67a730c2725b4b0075b6367d398,1344,10586188123,30590,22.76
81,7d2184158a7f3d59cb945737c11beb13c3f2e739f172483f43e473a81e3fd736,225,454194,7d2184158a7f3d59cb945737c11beb13c3f2e739f172483f43e473a81e3fd736,225,449658,4536,20.16
82,8ad5195db3b20e101380b42f4fcfd7d2512b2bdd35a8605447c3d29804f4a226,407,14539761,8ad5195db3b20e101380b42f4fcfd7d2512b2bdd35a8605447c3d29804f4a226,407,14533821,5940,14.59
83,9e0ead1091aeb864712b797dc567686fb417914bf7a6ba10eda772783cf31622,506,92590,9e0ead1091aeb864712b797dc567686fb417914bf7a6ba10eda772783cf31622,506,83414,9176,18.13
84,ab610fc5a61863b2bac64a039b43f667a182aab9a798c8e9786631b0a8c9639b,462,629646,ab610fc5a61863b2bac64a039b43f667a182aab9a798c8e9786631b0a8c9639b,462,622131,7515,16.27
85,ac24a710bcfbe2c0ebf6b0a824d75a8208f8e3ff2648f6408e37ee129b9a0106,226,226968,ac24a710bcfbe2c0ebf6b0a824d75a8208f8e3ff2648f6408e37ee129b9a0106,226,223376,3592,15.89
86,cb0c0e751a1011a125bb38bb16d437b1c9ab918a957bfa4770998abb4f1aa56e,223,1767449,cb0c0e751a1011a125bb38bb16d437b1c9ab918a957bfa4770998abb4f1aa56e,223,1764932,2517,11.29
87,12215665140b951d29a78b8be290ebd5c79e8bf3ef346afe2a3094a6c56573c9,195,108432,12215665140b951d29a78b8be290ebd5c79e8bf3ef346afe2a3094a6c56573c9,195,107648,784,4.02
88,272a8fe1af4048369545cd07429c4208a5c6e79176294ce0390fdccce5e5f2ab,191,3368459,272a8fe1af4048369545cd07429c4208a5c6e79176294ce0390fdccce5e5f2ab,191,3363659,4800,25.13
89,445b849600359395a49c9a1da13a62a345c39a42fe01ecacb17fecbf75515629,224,31747,445b849600359395a49c9a1da13a62a345c39a42fe01ecacb17fecbf75515629,224,27665,4082,18.22
90,08ceb1ea9be342c6967ffb179efac7c0de972735c79b16d6d46c20787e1ec609,631,3882407,08ceb1ea9be342c6967ffb179efac7c0de972735c79b16d6d46c20787e1ec609,631,3872231,10176,16.13
91,161156eb3261dbf431736a792f3dee1efdb67107a02e12eeb2ab1c49ad7d6fc7,223,53086528,161156eb3261dbf431736a792f3dee1efdb67107a02e12eeb2ab1c49ad7d6fc7,223,53085648,880,3.95
92,1363a2cad9b35d8384ae6f003fa97d2d47d1913c6626e1612e1892927f785e60,224,7938817,1363a2cad9b35d8384ae6f003fa97d2d47d1913c6626e1612e1892927f785e60,224,7934735,4082,18.22
93,25d66574464d64f16c514bc437da81a9e05cb92113d509bcc5b407baa5938516,506,110116,25d66574464d64f16c514bc437da81a9e05cb92113d509bcc5b407baa5938516,506,100938,9178,18.14
94,bb2a6ea66656815134a5cf7c2864981230ef71616db93c5b97d6635f59fb5137,195,1057335,bb2a6ea66656815134a5cf7c2864981230ef71616db93c5b97d6635f59fb5137,195,1054397,2938,15.07
95,0c2012055e05a16baf274077a2cbd158bd793afe58044953b8844748938e84fb,221,17946877,0c2012055e05a16baf274077a2cbd158bd793afe58044953b8844748938e84fb,221,17940468,6409,29
96,80de94364f23255a63ac29358c8ae34574a9c9724ffc6ff976a843c7b9b000d9,462,3912420,80de94364f23255a63ac29358c8ae34574a9c9724ffc6ff976a843c7b9b000d9,462,3904305,8115,17.56
97,b051bdfd1214e6d8ceaeebed6090314527dd71f9e2867f800b651f9499790b56,225,705431,b051bdfd1214e6d8ceaeebed6090314527dd71f9e2867f800b651f9499790b56,225,699479,5952,26.45
98,10069bcb5fc6422e411610806b97568b2c6962b687f8c0ac06b6a14016ca00f2,222,2585781,10069bcb5fc6422e411610806b97568b2c6962b687f8c0ac06b6a14016ca00f2,222,2582671,3110,14.01
99,4a47cafad1275d237fdcca10e7d456032ea59ddc086a88f8f0be0aa66b5c7e7f,222,867847,4a47cafad1275d237fdcca10e7d456032ea59ddc086a88f8f0be0aa66b5c7e7f,222,864737,3110,14.01
100,5205ad4bc3ae1f865c3b9fb6d468dba11c1cd5afe4b07966bfc5d519ff788a40,462,288695,5205ad4bc3ae1f865c3b9fb6d468dba11c1cd5afe4b07966bfc5d519ff788a40,462,280580,8115,17.56
101,a040c71981519fefb691db0289b5821fa07da583e922e69e4a2247aafbd10b90,522,66400,a040c71981519fefb691db0289b5821fa07da583e922e69e4a2247aafbd10b90,522,59120,7280,13.95
102,aea5c2444b4cb359fb9b9ab749d6e2c4fb1840f15dc4ced73a2396b432571128,223,4260907084,aea5c2444b4cb359fb9b9ab749d6e2c4fb1840f15dc4ced73a2396b432571128,223,4260902682,4402,19.74
103,e691cc94020dd4f4e6f522e9e113febd83b53dfb28ad6e640516cfe6cee796ca,223,10243910,e691cc94020dd4f4e6f522e9e113febd83b53dfb28ad6e640516cfe6cee796ca,223,10242931,979,4.39
104,296fc350756794e06890fb2565eb83b1f8b953b20aa8e947e6716faaaebd194e,222,11715256,296fc350756794e06890fb2565eb83b1f8b953b20aa8e947e6716faaaebd194e,222,11714277,979,4.41
105,29deeaae57482faf7f11d8cbf1a8bb0a00419159ab33df66ad4b036f9105d280,339,321903,29deeaae57482faf7f11d8cbf1a8bb0a00419159ab33df66ad4b036f9105d280,339,317275,4628,13.65
106,6332cfe8255b50fe58a87e04ef58d73e6c5aa3bb8bdf10f8c91bf7ff62d0f13f,193,260960,6332cfe8255b50fe58a87e04ef58d73e6c5aa3bb8bdf10f8c91bf7ff62d0f13f,193,256860,4100,21.24
107,6914832aa6b631b975edc11f2f9f5d1e187fcb266c5a2629afcced659d941ebe,506,97096,6914832aa6b631b975edc11f2f9f5d1e187fcb266c5a2629afcced659d941ebe,506,87918,9178,18.14
108,909f24c5807786a5f3a4da9ba4af23f1090303669b43286b2d2440a9892e9a14,188,178000,909f24c5807786a5f3a4da9ba4af23f1090303669b43286b2d2440a9892e9a14,188,176834,1166,6.2
109,c00e96fcdbd724f43249c1c648324289b24f7d7bf8e9652a76c3365d700d4250,234,1145357,c00e96fcdbd724f43249c1c648324289b24f7d7bf8e9652a76c3365d700d4250,234,1143047,2310,9.87
110,e8f0c4b3ca6f98be2d24b07ae97930cd65e83a21a3ec84e25cde084f45b32bb5,224,150725,e8f0c4b3ca6f98be2d24b07ae97930cd65e83a21a3ec84e25cde084f45b32bb5,224,144901,5824,26
111,49e1981fa30ef9053f82600c575f74727f31363c18798d7c964bb1a73afadb12,151,2500,49e1981fa30ef9053f82600c575f74727f31363c18798d7c964bb1a73afadb12,151,2047,453,3
112,997fdb43cdb0f06c008cd84676425487ebc2fe264987946ce9a309f817d25102,223,4965157,997fdb43cdb0f06c008cd84676425487ebc2fe264987946ce9a309f817d25102,223,4963596,1561,7
113,d5a4b71d4ef3b679fb283b681f02fb7d05b2eec4022aa08400fa0359aac1fc05,492,906984,d5a4b71d4ef3b679fb283b681f02fb7d05b2eec4022aa08400fa0359aac1fc05,492,900510,6474,13.16
114,dc4155cf7e3e310c443cc81811c062c50015e8b80f9a34985922725deeeff6a2,372,239719,dc4155cf7e3e310c443cc81811c062c50015e8b80f9a34985922725deeeff6a2,372,232180,7539,20.27
115,9e4fd0700acd9d8911a6403ea7e8256e32df34284d907134deddf22a6b111387,224,6223736,9e4fd0700acd9d8911a6403ea7e8256e32df34284d907134deddf22a6b111387,224,6220044,3692,16.48
116,a0468a9971644631d01d6bb293656246f8a3e7d089fb148ce194b3032fcf7f68,226,74109,a0468a9971644631d01d6bb293656246f8a3e7d089fb148ce194b3032fcf7f68,226,70365,3744,16.57
117,09edb8fbf910a9334a7a26a16f0ac6af88dc8edfcfeb8cc7986b3f8afff97d53,506,100114,09edb8fbf910a9334a7a26a16f0ac6af88dc8edfcfeb8cc7986b3f8afff97d53,506,90936,9178,18.14
118,965ece6f5c85fc1bfbe7c6c6cea0d553e791e4444b173eab3e759eb8d65691a4,226,35599,965ece6f5c85fc1bfbe7c6c6cea0d553e791e4444b173eab3e759eb8d65691a4,226,34570,1029,4.55
119,bbcf30907f10458451c6e3f12ae984f39a4869d6172f95a3d154776bea7ca60f,195,4864446,bbcf30907f10458451c6e3f12ae984f39a4869d6172f95a3d154776bea7ca60f,195,4859646,4800,24.62
120,df82ca640e4f4f017866c9fb5cc995a557c8f8f8f07408d2651c9d10ef40b67a,154,2500,df82ca640e4f4f017866c9fb5cc995a557c8f8f8f07408d2651c9d10ef40b67a,154,1884,616,4
121,056bd2c6f9ba550e04ee5c637cd60c02a9696a64b73227889864da1b720651ea,222,270335,056bd2c6f9ba550e04ee5c637cd60c02a9696a64b73227889864da1b720651ea,222,269356,979,4.41
122,1b3f6f61bb9e81059538dc9d16a66854573fe79675b5c4c3f140573ae0758929,191,1121400,1b3f6f61bb9e81059538dc9d16a66854573fe79675b5c4c3f140573ae0758929,191,1117143,4257,22.29
123,2ac6e2b35cf65525a0025a7c10ff33e3b4405e0187d3862ba9ddcd621c573e73,223,1604497,2ac6e2b35cf65525a0025a7c10ff33e3b4405e0187d3862ba9ddcd621c573e73,223,1600415,4082,18.3
124,3d9aadd6c6b7a79b2e4eba1a2801c2e8201fc419f762f8e504ba927377a19cdb,224,280712,3d9aadd6c6b7a79b2e4eba1a2801c2e8201fc419f762f8e504ba927377a19cdb,224,279194,1518,6.78
125,8088383ecc66f9f70b69da7a0484c4b2801e4716d99cab01ea3b04796e0e4850,222,577781,8088383ecc66f9f70b69da7a0484c4b2801e4716d99cab01ea3b04796e0e4850,222,574373,3408,15.35
126,53165a2bd31c03c2f40e9a8f98acfa71b43f430c9b4ce0787f30353ec1db5096,188,94607,53165a2bd31c03c2f40e9a8f98acfa71b43f430c9b4ce0787f30353ec1db5096,188,89807,4800,25.53
127,6f1a02ab9e3f43ac82cd6c7122a69f48816f6f055930378cf1e10d4b455577c1,669,472129,6f1a02ab9e3f43ac82cd6c7122a69f48816f6f055930378cf1e10d4b455577c1,669,464967,7162,10.71
128,7537cc920f1aa4350e0a0ed42cbe1f12eaf66497699e4f345a454ca5c2fe2022,2664,7454095,7537cc920f1aa4350e0a0ed42cbe1f12eaf66497699e4f345a454ca5c2fe2022,2664,7427344,26751,10.04
129,7c929072fb58a30875ad1b18bcb319bda822daeaf07f5bb8b370357e57d75804,249,1034647,7c929072fb58a30875ad1b18bcb319bda822daeaf07f5bb8b370357e57d75804,249,1032535,2112,8.48
130,b3fe545dcf597cc7e51b47326f388cc8aea30872e265fdc6e7898e53bbc77957,341,399387,b3fe545dcf597cc7e51b47326f388cc8aea30872e265fdc6e7898e53bbc77957,341,398027,1360,3.99
